championId,name,tags,damage_type,is_tank,is_mage,is_marksman,is_fighter,is_assassin,is_support,frontline,engage,enchanter,poke,hard_cc
1,Annie,Mage|Support,AP,0,1,0,0,0,1,0,0,0,0,1
2,Olaf,Fighter|Tank,AD,1,0,0,1,0,0,1,0,0,0,0
3,Galio,Tank|Mage,AP,1,1,0,0,0,0,1,1,0,0,1
4,Twisted Fate,Mage|Marksman,AD,0,1,1,0,0,0,0,0,0,0,1
5,Xin Zhao,Fighter|Tank,AD,1,0,0,1,0,0,1,0,0,0,0
6,Urgot,Fighter|Tank,AD,1,0,0,1,0,0,1,0,0,0,1
7,LeBlanc,Assassin|Mage,AP,0,1,0,0,1,0,0,0,0,0,0
8,Vladimir,Mage|Fighter,AP,0,1,0,1,0,0,1,0,0,0,0
9,Fiddlesticks,Mage|Support,AP,0,1,0,0,0,1,0,0,0,0,0
10,Kayle,Mage|Marksman,AD,0,1,1,0,0,0,0,0,0,0,0
11,Master Yi,Fighter|Assassin,AD,0,0,0,1,1,0,1,0,0,0,0
12,Alistar,Tank|Support,AD,1,0,0,0,0,1,1,1,0,0,1
13,Ryze,Mage,AP,0,1,0,0,0,0,0,0,0,0,0
14,Sion,Tank|Fighter,AD,1,0,0,1,0,0,1,1,0,0,1
15,Sivir,Marksman,AD,0,0,1,0,0,0,0,0,0,0,0
16,Soraka,Support|Mage,AP,0,1,0,0,0,1,0,0,1,0,0
17,Teemo,Marksman|Mage,AD,0,1,1,0,0,0,0,0,0,0,0
18,Tristana,Marksman|Assassin,AD,0,0,1,0,1,0,0,0,0,0,0
19,Warwick,Fighter|Tank,AD,1,0,0,1,0,0,1,0,0,0,1
20,Nunu & Willump,Tank|Mage,AP,1,1,0,0,0,0,1,0,0,0,1
21,Miss Fortune,Marksman|Mage,AD,0,1,1,0,0,0,0,0,0,0,0
22,Ashe,Marksman|Support,AD,0,0,1,0,0,1,0,0,0,0,1
23,Tryndamere,Fighter|Assassin,AD,0,0,0,1,1,0,1,0,0,0,0
24,Jax,Fighter,mixed,0,0,0,1,0,0,1,0,0,0,0
25,Morgana,Support|Mage,AP,0,1,0,0,0,1,0,0,0,0,1
26,Zilean,Support|Mage,AP,0,1,0,0,0,1,0,0,0,0,0
27,Singed,Tank|Mage,AP,1,1,0,0,0,0,1,0,0,0,0
28,Evelynn,Assassin|Mage,AP,0,1,0,0,1,0,0,0,0,0,0
29,Twitch,Marksman|Assassin,AD,0,0,1,0,1,0,0,0,0,0,0
30,Karthus,Mage,AP,0,1,0,0,0,0,0,0,0,0,0
31,Cho'Gath,Tank|Mage,AP,1,1,0,0,0,0,1,0,0,0,0
32,Amumu,Tank|Support,AP,1,0,0,0,0,1,1,1,0,0,1
33,Rammus,Tank,AP,1,0,0,0,0,0,1,0,0,0,1
34,Anivia,Mage,AP,0,1,0,0,0,0,0,0,0,0,0
